127.0.0.1 - - [14/Nov/2024:19:49:35 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:49:37 +0530] "GET /JSP/demo.jsp HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:49:37 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:49:48 +0530] "GET /JSP/demo.jsp HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:49:58 +0530] "GET /JSP/demo.jsp HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:50:08 +0530] "GET /JSP/demo.jsp HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [14/Nov/2024:19:50:48 +0530] "GET /JSP/demo.jsp HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [14/Nov/2024:20:10:24 +0530] "GET /JSP/animal.jsp HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [14/Nov/2024:20:10:41 +0530] "GET /JSP/plant.jsp HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [14/Nov/2024:20:11:23 +0530] "GET /JSP/plant.jsp HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [14/Nov/2024:20:11:34 +0530] "GET /JSP/animal.jsp HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [14/Nov/2024:20:30:10 +0530] "GET /JSP/taglib.jsp HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [14/Nov/2024:20:30:30 +0530] "GET /JSP/taglib.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [14/Nov/2024:20:30:44 +0530] "GET /JSP/taglib.jsp HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [14/Nov/2024:20:31:21 +0530] "GET /JSP/taglib.jsp HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [14/Nov/2024:20:33:20 +0530] "GET /JSP/taglib.jsp HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [14/Nov/2024:20:34:02 +0530] "GET /JSP/taglib.jsp HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [14/Nov/2024:20:34:47 +0530] "GET /JSP/taglib.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [14/Nov/2024:20:35:29 +0530] "GET /JSP/taglib.jsp HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [14/Nov/2024:20:35:39 +0530] "GET /JSP/taglib.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [14/Nov/2024:20:35:46 +0530] "GET /JSP/taglib.jsp HTTP/1.1" 200 220
